combo,filename,label,esp_only,window_index,start_offset_sec,n_packets,n_bytes,pkts_per_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,median_size,mean_inter_arrival,std_inter_arrival,max_inter_arrival,fwd_packet_ratio,fwd_byte_ratio
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,8,8.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.00044978989495171443,0.0005962245807434918,0.0019788742065429688,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,9,9.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.04795284020273309,0.20755946075744935,0.9050641059875488,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,10,10.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003818670908610026,0.0006063849996409245,0.0019621849060058594,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,11,11.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.021312312075966282,0.09130026239058944,0.3983290195465088,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,12,12.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.02375341716565584,0.10195955444140994,0.44478797912597656,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,13,13.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0004173384772406684,0.000571486289351728,0.0018951892852783203,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,14,14.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003917747073703342,0.0005474547557769699,0.0018248558044433594,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,15,15.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.04700999510915656,0.20325456624224775,0.8863430023193359,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,16,16.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003737608591715495,0.0005604661101684109,0.0018520355224609375,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,17,17.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003572040134006076,0.0005522929432943387,0.0018110275268554688,0.6,0.357429718875502
aes128-dh14-transport-pfs-off,aes128-dh14-transport-pfs-off__web_run1.pcap,web_browsing,True,18,18.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.03289226481789037,0.14199491674343512,0.6192541122436523,0.6,0.357429718875502
