label,packet_count,total_bytes,duration_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,mean_inter_arrival,std_inter_arrival,fwd_packet_ratio,bwd_packet_ratio
video_streaming,500,423272,1.598876953125,264730.815697053,846.544,691.429276899603,122,1514,0.003204162230711423,0.03129191652245344,0.444,0.556
voip,30,14140,0.4078819751739502,34666.891063204464,471.3333333333333,80.50415852755611,394,602,0.014064895695653456,0.03184980009497686,0.5,0.5
web_browsing,300,63960,19.31660795211792,3311.1403492033533,213.2,253.4099749114375,122,970,0.06460403997363853,0.20609786963025373,0.6,0.4
file_transfer,4998,6501596,1.0891270637512207,5969547.738173826,1300.8395358143257,485.7527899305364,122,1514,0.0002179561864621214,0.005460856616374485,0.8717486994797919,0.12825130052020808
icmp,20,3024,9.13370418548584,331.0814471970057,151.2,8.618218157515294,126,154,0.48072127292030736,0.5202069122021348,0.5,0.5
video_streaming,500,442424,2.2456960678100586,197009.74069542714,884.848,688.3407490986855,122,1514,0.004500392921463044,0.036983559510761085,0.404,0.596
voip,30,14140,0.4086768627166748,34599.46302319273,471.3333333333333,80.50415852755611,394,602,0.014092305610919821,0.031770467407977725,0.5,0.5
web_browsing,300,63960,21.64220881462097,2955.3360540902886,213.2,253.4099749114375,122,970,0.0723819692796688,0.2270082523204852,0.5966666666666667,0.4033333333333333
file_transfer,5000,4581722,0.9748790264129639,4699785.179355329,916.3444,689.5114393493691,66,1514,0.0001950148082442416,0.005435026254244162,0.5864,0.4136
icmp,20,2880,6.017997980117798,478.5644677041959,144.0,33.60451097538449,98,170,0.3167367357956736,0.47901981109925795,0.65,0.35
video_streaming,500,492404,1.314460039138794,374605.53028497734,984.808,647.4610774630853,66,1514,0.0026341884551879637,0.02838436468389703,0.302,0.698
voip,40,18545,0.39945507049560547,46425.746898120844,463.625,93.43685307639868,339,618,0.010242437705015525,0.027648936154008496,0.325,0.675
web_browsing,300,73047,14.192819118499756,5146.757623704669,243.49,293.42103351617277,66,1002,0.04746762246989885,0.18010415120693063,0.43,0.57
file_transfer,5000,4531710,1.0214860439300537,4436389.539464241,906.342,691.6852705809976,66,1514,0.000204338076401291,0.005403250584004724,0.5784,0.4216
icmp,20,2880,5.6943440437316895,505.7650148782795,144.0,33.60451097538449,98,170,0.29970231809114156,0.4595923819889547,0.65,0.35
video_streaming,500,493718,1.3720390796661377,359842.5200251132,987.436,646.6833046375899,66,1514,0.002749577313960196,0.029783266097802727,0.3,0.7
voip,40,18545,0.4023451805114746,46092.26330591304,463.625,93.43685307639868,339,618,0.01031654309003781,0.028026319920572966,0.325,0.675
web_browsing,300,73047,14.506148099899292,5035.589013496086,243.49,293.42103351617277,66,1002,0.04851554548461302,0.18386978870174284,0.43,0.57
file_transfer,5000,6496720,0.9098958969116211,7140069.564058087,1299.344,493.16811070981083,122,1514,0.000182015582498824,0.002793981367989361,0.8616,0.1384
icmp,20,3024,8.854934215545654,341.50451334704314,151.2,8.618218157515294,126,154,0.46604916923924494,0.5092575220722414,0.5,0.5
