file,combo,traffic,cipher,true_family,true_mode,n_packets,distinct_sizes,rule_family,rule_conf,rule_leaning,icv_candidates,min_len,p05_len,p25_len,p50_len,p75_len,p95_len,max_len,mean_len,std_len,frac_res0,frac_res4,frac_res8,frac_res12,multi_size
aes128-dh14-tunnel-pfs-on__video_run1.pcap,aes128-dh14-tunnel-pfs-on,video,aes128,CBC-like,tunnel,327,4,CBC-like (16-byte block aligned),0.985,,16;32,104.0,104.0,104.0,216.0,1480.0,1480.0,1480.0,762.6422018348624,682.3912379596338,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-on__voip_run1.pcap,aes128-dh14-tunnel-pfs-on,voip,aes128,CBC-like,tunnel,27,4,CBC-like (16-byte block aligned),0.985,,16;32,376.0,376.0,376.0,440.0,536.0,584.0,584.0,463.1111111111111,79.86160869410206,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-on__web_run1.pcap,aes128-dh14-tunnel-pfs-on,web,aes128,CBC-like,tunnel,215,3,CBC-like (16-byte block aligned),0.941,,16;32,104.0,104.0,104.0,104.0,104.0,968.0,968.0,194.93953488372094,255.07389001468874,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-off__file_transfer_run1.pcap,aes128-dh19-transport-pfs-off,file_transfer,aes128,CBC-like,transport,5000,18,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1480.0,1258.3808,500.1582235566661,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-off__icmp_run1.pcap,aes128-dh19-transport-pfs-off,icmp,aes128,CBC-like,transport,16,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh19-transport-pfs-off__video_run1.pcap,aes128-dh19-transport-pfs-off,video,aes128,CBC-like,transport,500,7,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,859.52,686.4331180821624,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-off__voip_run1.pcap,aes128-dh19-transport-pfs-off,voip,aes128,CBC-like,transport,30,4,CBC-like (16-byte block aligned),0.985,,16;32,360.0,360.0,360.0,408.0,520.0,568.0,568.0,437.3333333333333,79.15105109149775,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-off__web_run1.pcap,aes128-dh19-transport-pfs-off,web,aes128,CBC-like,transport,300,3,CBC-like (16-byte block aligned),0.941,,16;32,88.0,88.0,88.0,88.0,88.0,936.0,936.0,179.2,252.98727240713114,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-on__file_transfer_run1.pcap,aes128-dh19-transport-pfs-on,file_transfer,aes128,CBC-like,transport,5000,17,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1480.0,1277.5296,481.7698997694231,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-on__icmp_run1.pcap,aes128-dh19-transport-pfs-on,icmp,aes128,CBC-like,transport,18,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh19-transport-pfs-on__video_run1.pcap,aes128-dh19-transport-pfs-on,video,aes128,CBC-like,transport,500,7,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,837.216,688.5534005028223,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-on__voip_run1.pcap,aes128-dh19-transport-pfs-on,voip,aes128,CBC-like,transport,30,4,CBC-like (16-byte block aligned),0.985,,16;32,360.0,360.0,360.0,408.0,520.0,568.0,568.0,437.3333333333333,79.15105109149775,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-on__web_run1.pcap,aes128-dh19-transport-pfs-on,web,aes128,CBC-like,transport,300,3,CBC-like (16-byte block aligned),0.941,,16;32,88.0,88.0,88.0,88.0,88.0,936.0,936.0,179.2,252.98727240713114,0.0,0.0,1.0,0.0,1.0
aes128-dh19-tunnel-pfs-off__file_transfer_run1.pcap,aes128-dh19-tunnel-pfs-off,file_transfer,aes128,CBC-like,tunnel,3796,12,CBC-like (16-byte block aligned),1.0,,16;32,104.0,104.0,104.0,1480.0,1480.0,1480.0,1480.0,1025.8798735511064,637.1288918019598,0.0,0.0,1.0,0.0,1.0
aes128-dh19-tunnel-pfs-off__icmp_run1.pcap,aes128-dh19-tunnel-pfs-off,icmp,aes128,CBC-like,tunnel,12,1,undetermined,0.0,,,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh19-tunnel-pfs-off__video_run1.pcap,aes128-dh19-tunnel-pfs-off,video,aes128,CBC-like,tunnel,325,4,CBC-like (16-byte block aligned),0.985,,16;32,104.0,104.0,104.0,216.0,1480.0,1480.0,1480.0,775.1630769230769,682.7841563592026,0.0,0.0,1.0,0.0,1.0
aes128-dh19-tunnel-pfs-off__voip_run1.pcap,aes128-dh19-tunnel-pfs-off,voip,aes128,CBC-like,tunnel,27,4,CBC-like (16-byte block aligned),0.985,,16;32,376.0,376.0,376.0,440.0,536.0,584.0,584.0,463.1111111111111,79.86160869410206,0.0,0.0,1.0,0.0,1.0
aes128-dh19-tunnel-pfs-off__web_run1.pcap,aes128-dh19-tunnel-pfs-off,web,aes128,CBC-like,tunnel,215,3,CBC-like (16-byte block aligned),0.941,,16;32,104.0,104.0,104.0,104.0,104.0,968.0,968.0,194.93953488372094,255.07389001468874,0.0,0.0,1.0,0.0,1.0
aes128-dh19-tunnel-pfs-on__file_transfer_run1.pcap,aes128-dh19-tunnel-pfs-on,file_transfer,aes128,CBC-like,tunnel,4083,13,CBC-like (16-byte block aligned),1.0,,16;32,104.0,104.0,1032.0,1480.0,1480.0,1480.0,1480.0,1152.260592701445,573.8835947222199,0.0,0.0,1.0,0.0,1.0
aes128-dh19-tunnel-pfs-on__icmp_run1.pcap,aes128-dh19-tunnel-pfs-on,icmp,aes128,CBC-like,tunnel,12,1,undetermined,0.0,,,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh19-tunnel-pfs-on__video_run1.pcap,aes128-dh19-tunnel-pfs-on,video,aes128,CBC-like,tunnel,326,4,CBC-like (16-byte block aligned),0.985,,16;32,104.0,104.0,104.0,216.0,1480.0,1480.0,1480.0,773.1042944785277,682.7457072579098,0.0,0.0,1.0,0.0,1.0
aes128-dh19-tunnel-pfs-on__voip_run1.pcap,aes128-dh19-tunnel-pfs-on,voip,aes128,CBC-like,tunnel,27,4,CBC-like (16-byte block aligned),0.985,,16;32,376.0,376.0,376.0,440.0,536.0,584.0,584.0,463.1111111111111,79.86160869410206,0.0,0.0,1.0,0.0,1.0
aes128-dh19-tunnel-pfs-on__web_run1.pcap,aes128-dh19-tunnel-pfs-on,web,aes128,CBC-like,tunnel,215,3,CBC-like (16-byte block aligned),0.941,,16;32,104.0,104.0,104.0,104.0,104.0,968.0,968.0,194.93953488372094,255.07389001468874,0.0,0.0,1.0,0.0,1.0
aes128-dh2-transport-pfs-off__file_transfer_run1.pcap,aes128-dh2-transport-pfs-off,file_transfer,aes128,CBC-like,transport,5000,18,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1480.0,1265.344,493.11879143265264,0.0,0.0,1.0,0.0,1.0
aes128-dh2-transport-pfs-off__icmp_run1.pcap,aes128-dh2-transport-pfs-off,icmp,aes128,CBC-like,transport,18,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh2-transport-pfs-off__video_run1.pcap,aes128-dh2-transport-pfs-off,video,aes128,CBC-like,transport,500,8,CBC-like (16-byte block aligned),1.0,,16;32,72.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,820.896,690.361039735007,0.0,0.0,1.0,0.0,1.0
aes128-dh2-transport-pfs-off__voip_run1.pcap,aes128-dh2-transport-pfs-off,voip,aes128,CBC-like,transport,30,4,CBC-like (16-byte block aligned),0.985,,16;32,360.0,360.0,360.0,408.0,520.0,568.0,568.0,437.3333333333333,79.15105109149775,0.0,0.0,1.0,0.0,1.0
aes128-dh2-transport-pfs-off__web_run1.pcap,aes128-dh2-transport-pfs-off,web,aes128,CBC-like,transport,300,3,CBC-like (16-byte block aligned),0.941,,16;32,88.0,88.0,88.0,88.0,88.0,936.0,936.0,179.2,252.98727240713114,0.0,0.0,1.0,0.0,1.0
aes128-dh2-transport-pfs-on__file_transfer_run1.pcap,aes128-dh2-transport-pfs-on,file_transfer,aes128,CBC-like,transport,5000,18,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1480.0,1338.9888,409.6150952718417,0.0,0.0,1.0,0.0,1.0
aes128-dh2-transport-pfs-on__icmp_run1.pcap,aes128-dh2-transport-pfs-on,icmp,aes128,CBC-like,transport,18,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh2-transport-pfs-on__video_run1.pcap,aes128-dh2-transport-pfs-on,video,aes128,CBC-like,transport,500,7,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,810.336,691.3852870173041,0.0,0.0,1.0,0.0,1.0
aes128-dh2-transport-pfs-on__voip_run1.pcap,aes128-dh2-transport-pfs-on,voip,aes128,CBC-like,transport,30,4,CBC-like (16-byte block aligned),0.985,,16;32,360.0,360.0,360.0,408.0,520.0,568.0,568.0,437.3333333333333,79.15105109149775,0.0,0.0,1.0,0.0,1.0
aes128-dh2-transport-pfs-on__web_run1.pcap,aes128-dh2-transport-pfs-on,web,aes128,CBC-like,transport,300,3,CBC-like (16-byte block aligned),0.941,,16;32,88.0,88.0,88.0,88.0,88.0,936.0,936.0,179.2,252.98727240713114,0.0,0.0,1.0,0.0,1.0
aes128-dh2-tunnel-pfs-off__file_transfer_run1.pcap,aes128-dh2-tunnel-pfs-off,file_transfer,aes128,CBC-like,tunnel,3779,12,CBC-like (16-byte block aligned),1.0,,16;32,104.0,104.0,104.0,1480.0,1480.0,1480.0,1480.0,1017.8756284731411,640.1464277337624,0.0,0.0,1.0,0.0,1.0
aes128-dh2-tunnel-pfs-off__icmp_run1.pcap,aes128-dh2-tunnel-pfs-off,icmp,aes128,CBC-like,tunnel,12,1,undetermined,0.0,,,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh2-tunnel-pfs-off__video_run1.pcap,aes128-dh2-tunnel-pfs-off,video,aes128,CBC-like,tunnel,326,4,CBC-like (16-byte block aligned),0.985,,16;32,104.0,104.0,104.0,216.0,1480.0,1480.0,1480.0,768.8834355828221,682.6158311347637,0.0,0.0,1.0,0.0,1.0
aes128-dh2-tunnel-pfs-off__voip_run1.pcap,aes128-dh2-tunnel-pfs-off,voip,aes128,CBC-like,tunnel,27,4,CBC-like (16-byte block aligned),0.985,,16;32,376.0,376.0,376.0,440.0,536.0,584.0,584.0,463.1111111111111,79.86160869410206,0.0,0.0,1.0,0.0,1.0
aes128-dh2-tunnel-pfs-off__web_run1.pcap,aes128-dh2-tunnel-pfs-off,web,aes128,CBC-like,tunnel,215,3,CBC-like (16-byte block aligned),0.941,,16;32,104.0,104.0,104.0,104.0,104.0,968.0,968.0,194.93953488372094,255.07389001468874,0.0,0.0,1.0,0.0,1.0
aes128-dh2-tunnel-pfs-on__file_transfer_run1.pcap,aes128-dh2-tunnel-pfs-on,file_transfer,aes128,CBC-like,tunnel,3751,12,CBC-like (16-byte block aligned),1.0,,16;32,104.0,104.0,104.0,1480.0,1480.0,1480.0,1480.0,1004.7603305785124,644.7234899104675,0.0,0.0,1.0,0.0,1.0
aes128-dh2-tunnel-pfs-on__icmp_run1.pcap,aes128-dh2-tunnel-pfs-on,icmp,aes128,CBC-like,tunnel,12,1,undetermined,0.0,,,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,0.0,0.0,0.0,1.0,0.0,0.0
